id;guideword;hazard;detailed_scenario;hazardous_event;severity;severity_rationale
1;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a T-intersection with a debris on the road""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the debris""";S0;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the debris"" is estimated to be S0. This is because the event describes a failure of the system to initiate a lateral motion to avoid debris, but it does not explicitly state that a collision occurred. Therefore, in this scenario, it is assumed that the vehicle might have continued in its path without colliding with the debris or any other object, resulting in no injuries. The impact speed is not a factor in this scenario as no collision is explicitly mentioned."
2;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Driving in a multi-lane one-way street with adjacent parking lanes and dotted line markings, a pedestrian suddenly crosses the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve into an adjacent lane where there is no hazardous collision object""";S0; The severity of the hazardous event is predicted to be S0 as the CAEM-induced lateral motion request causes the vehicle to swerve into an adjacent lane where there is no hazardous collision object. This implies that there is no collision or rollover, hence no injuries are expected. The event can be compared to leaving the road without collision or rollover - a scenario that falls under the S0 severity class.
3;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Traversing a gentle curve on a single-lane uphill road with an adjacent parking lane and a pedestrian crossing the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the parking lane when there is no hazardous collision object in the vicinity""";S0; The severity of the hazardous event is predicted as S0 as the CAEM's lateral motion request causes the vehicle to swerve into the parking lane where there are no hazardous collision objects in the vicinity. Therefore, the potential harm is minimal with no injuries, similar to leaving the road without collision or rollover.
4;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Tunnel with no vehicles or obstacles;CAEM produces a lateral motion request causing the vehicle to swerve towards the curb;S0;The severity of the hazardous event is predicted to be S0 as the CAEM-induced lateral motion request causes the vehicle to swerve into an empty lane where there is no hazardous collision object. This implies that there is no collision or rollover, hence no injuries are expected.
5;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Tunnel with no vehicles or obstacles;CAEM produces a lateral motion request causing the vehicle to swerve into a parking spot;S0;The severity of the hazardous event is predicted to be S0 as the CAEM-induced lateral motion request causes the vehicle to swerve into an empty lane where there is no hazardous collision object. This implies that there is no collision or rollover, hence no injuries are expected.
6;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Intersection with traffic lights, no vehicles or pedestrians present;CAEM produces a lateral motion request causing the vehicle to swerve into a parking spot;S0;The severity of the hazardous event is predicted to be S0 as the CAEM-induced lateral motion request causes the vehicle to swerve into an empty lane where there is no hazardous collision object. This implies that there is no collision or rollover, hence no injuries are expected.
7;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Residential area with parked cars and no pedestrians;CAEM produces a lateral motion request causing the vehicle to swerve into an empty lane;S0;The severity of the hazardous event is predicted to be S0 as the CAEM-induced lateral motion request causes the vehicle to swerve into an empty lane where there is no hazardous collision object. This implies that there is no collision or rollover, hence no injuries are expected.
8;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Industrial area with trucks parked and no other road users;CAEM produces a lateral motion request causing the vehicle to swerve and brake suddenly;S0;The severity of the hazardous event is predicted to be S0 as the CAEM-induced lateral motion request causes the vehicle to swerve into an empty lane where there is no hazardous collision object. This implies that there is no collision or rollover, hence no injuries are expected.
9;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Industrial area with trucks parked and no other road users;CAEM produces a lateral motion request causing the vehicle to swerve into an empty lane;S0;The hazardous event involves a lateral motion request by the CAEM causing the vehicle to swerve unnecessarily. This could potentially lead to a collision with roadside infrastructure or another vehicle, but given the absence of high speed or direct impact, the severity is likely to be S1, involving light to moderate injuries.
10;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;Tunnel with no vehicles or obstacles;CAEM produces a lateral motion request causing the vehicle to swerve into an empty lane;S0;The severity of the hazardous event is predicted to be S0 as the CAEM-induced lateral motion request causes the vehicle to swerve into an empty lane where there is no hazardous collision object. This implies that there is no collision or rollover, hence no injuries are expected.
