ID;Guideword;Hazard;detailed_scenario;Hazardous event;severity;Severity rationale
1;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Sharp downhill curve with low friction and a bicycle riding in the same direction""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily, potentially causing a collision with the bicycle""";S2; The hazardous event involves a potential collision with a bicycle due to an unnecessary swerve caused by CAEM. Given the nature of the event, the cyclist is an unprotected road user and is at a high risk of severe and life-threatening injuries, especially if the vehicle is moving at a high speed. The impact speed, in this case, can be high due to the unexpected swerve, increasing the severity of potential harm. Therefore, the severity is predicted as S2.
2;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Sharp downhill curve with low friction and a large tree fallen on the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily, potentially causing a collision with the tree""";S2;" The severity of the hazardous event is predicted as S2, which indicates severe and life-threatening injuries. This is based on the scenario where the CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily, potentially causing a collision with a tree. Given the nature of the event, it is similar to the example provided for S2 severity class - ""Side impact with a narrow stationary object, e.g. passenger car crashing into a tree (impact to passenger cell) with low speed"". The impact speed is assumed to be low as there is no indication of high speed in the scenario. However, the severity could be higher if there are unprotected road users such as pedestrians or cyclists nearby at the time of the accident."
3;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Sharp downhill curve with low friction and a car parked illegally on the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily, potentially causing a collision with the parked car""";S1; The severity of the hazardous event is predicted as S1, indicating light and moderate injuries. This is based on the scenario where CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily, potentially causing a collision with a parked car. Given the nature of the event, the impact speed is likely to be low as it involves a parked car, and the persons involved would likely be the driver or passengers of the ego vehicle. The severity is not higher as the collision is not with a moving vehicle or a narrow stationary object at high speed, which would lead to more severe injuries.
4;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Sharp downhill curve with low friction due to wet road conditions and a pedestrian crossing""";"""CAEM fails to produce a lateral motion request causing the vehicle to collide with the pedestrian""";S3; The hazardous event involves a failure in the CAEM, leading to a collision with a pedestrian. Given the unprotected nature of pedestrians and the potential high impact speed, this could result in life-threatening injuries or even fatality, hence the severity is predicted as S3.
5;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Sharp downhill curve with low friction due to wet road conditions and a car parked on the side""";"""CAEM fails to produce a lateral motion request causing the vehicle to collide with the parked car""";S1; The CAEM failure causing the vehicle to collide with a parked car would most likely result in light to moderate injuries. This is because the impact speed would be relatively low given that the vehicle is not being propelled laterally at high speeds, and the parked car would absorb some of the impact. Furthermore, the vehicle's safety systems (airbags, seatbelts) would also mitigate the severity of the injuries.
6;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Sharp downhill curve with low friction due to wet road conditions and debris on the road""";"""CAEM fails to produce a lateral motion request causing the vehicle to collide with the debris""";S1;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request causing the vehicle to collide with the debris"" is predicted as S1. This is because, as per the provided severity classes, the collision with debris due to the failure of CAEM to produce a lateral motion request can be equated to a side impact with a narrow stationary object (the debris) at a very low speed. This is assuming that the vehicle was not at a high speed when the event occurred. Therefore, the severity is likely to result in light and moderate injuries, which falls under the S1 category."
7;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with signalized pedestrian crosswalks on a multi-lane street and a bicycle is crossing""";"""CAEM produces a lateral motion request causing the vehicle to swerve into a parked car""";S1;The severity of the hazardous event where CAEM produces a lateral motion request causing the vehicle to swerve into a parked car is predicted as S1. This is because the event involves a collision with a stationary object (parked car) at a potentially low speed, which may lead to light and moderate injuries. The impact speed is likely not high enough to cause severe or life-threatening injuries, as the vehicle is swerving rather than directly colliding at high speed. However, the severity could be higher if there are unprotected road users nearby or passengers in the parked car.
8;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Intersection with stop signs, a truck approaching from the left""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the path of the truck""";S3; The severity of the hazardous event is predicted as S3 due to the high potential for life-threatening injuries or fatal injuries. The CAEM's lateral motion request causing the vehicle to swerve into the path of the truck could lead to a side impact with the truck, which is a large stationary object. This could cause a high level of harm to the driver or passengers of the vehicle, especially if the impact speed is high. The severity is therefore determined by the person with the highest level of severity, which in this case would likely be the driver or passengers of the vehicle.
9;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Intersection with stop signs, debris on the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily""";S1; The hazardous event involves CAEM producing a lateral motion request causing the vehicle to swerve unnecessarily. Considering the nature of the event, the severity is likely to be S1 as it may result in light and moderate injuries due to sudden swerving. The impact speed is not explicitly high, and there is no direct collision mentioned. However, the sudden swerve might cause discomfort or minor injuries to the passengers or driver of the ego vehicle. The severity is not higher because there's no mention of a collision with other vehicles or pedestrians, and the passenger compartment deformation is unlikely in this scenario.
10;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Ego vehicle is driving in a multi-lane one-way street with adjacent parking lanes and dotted line markings, a car from the parking lane suddenly pulls out""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the car""";S3; The CAEM failing to produce a lateral motion request when necessary to avoid a collision with a car can lead to a direct frontal collision at high speed. This could result in life-threatening injuries (survival uncertain), or even fatal injuries, especially if the impact speed is high, which is likely in this scenario. This is similar to the example given for S3 severity level, where a front collision with passenger compartment deformation occurs.
