id;guideword;hazard;detailed_scenario;hazardous_event;severity;severity_rationale
1;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Sharp downhill curve with low friction and a car parked illegally on the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily, potentially causing a collision with the parked car""";S1; The severity of the hazardous event is predicted as S1, indicating light and moderate injuries. This is based on the scenario where CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily, potentially causing a collision with a parked car. Given the nature of the event, the impact speed is likely to be low as it involves a parked car, and the persons involved would likely be the driver or passengers of the ego vehicle. The severity is not higher as the collision is not with a moving vehicle or a narrow stationary object at high speed, which would lead to more severe injuries.
2;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Sharp downhill curve with low friction due to wet road conditions and a pedestrian crossing""";"""CAEM fails to produce a lateral motion request causing the vehicle to collide with the pedestrian""";S3; The hazardous event involves a failure in the CAEM, leading to a collision with a pedestrian. Given the unprotected nature of pedestrians and the potential high impact speed, this could result in life-threatening injuries or even fatality, hence the severity is predicted as S3.
3;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Sharp downhill curve with low friction due to wet road conditions and a car parked on the side""";"""CAEM fails to produce a lateral motion request causing the vehicle to collide with the parked car""";S1; The CAEM failure causing the vehicle to collide with a parked car would most likely result in light to moderate injuries. This is because the impact speed would be relatively low given that the vehicle is not being propelled laterally at high speeds, and the parked car would absorb some of the impact. Furthermore, the vehicle's safety systems (airbags, seatbelts) would also mitigate the severity of the injuries.
4;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Sharp downhill curve with low friction due to wet road conditions and debris on the road""";"""CAEM fails to produce a lateral motion request causing the vehicle to collide with the debris""";S1;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request causing the vehicle to collide with the debris"" is predicted as S1. This is because, as per the provided severity classes, the collision with debris due to the failure of CAEM to produce a lateral motion request can be equated to a side impact with a narrow stationary object (the debris) at a very low speed. This is assuming that the vehicle was not at a high speed when the event occurred. Therefore, the severity is likely to result in light and moderate injuries, which falls under the S1 category."
5;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Approaching a T-intersection with signalized pedestrian crosswalks on a multi-lane street and a bicycle is crossing""";"""CAEM produces a lateral motion request causing the vehicle to swerve into a parked car""";S1;The severity of the hazardous event where CAEM produces a lateral motion request causing the vehicle to swerve into a parked car is predicted as S1. This is because the event involves a collision with a stationary object (parked car) at a potentially low speed, which may lead to light and moderate injuries. The impact speed is likely not high enough to cause severe or life-threatening injuries, as the vehicle is swerving rather than directly colliding at high speed. However, the severity could be higher if there are unprotected road users nearby or passengers in the parked car.
6;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Intersection with stop signs, a truck approaching from the left""";"""CAEM produces a lateral motion request causing the vehicle to swerve into the path of the truck""";S3; The severity of the hazardous event is predicted as S3 due to the high potential for life-threatening injuries or fatal injuries. The CAEM's lateral motion request causing the vehicle to swerve into the path of the truck could lead to a side impact with the truck, which is a large stationary object. This could cause a high level of harm to the driver or passengers of the vehicle, especially if the impact speed is high. The severity is therefore determined by the person with the highest level of severity, which in this case would likely be the driver or passengers of the vehicle.
7;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Intersection with stop signs, debris on the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve unnecessarily""";S1; The hazardous event involves CAEM producing a lateral motion request causing the vehicle to swerve unnecessarily. Considering the nature of the event, the severity is likely to be S1 as it may result in light and moderate injuries due to sudden swerving. The impact speed is not explicitly high, and there is no direct collision mentioned. However, the sudden swerve might cause discomfort or minor injuries to the passengers or driver of the ego vehicle. The severity is not higher because there's no mention of a collision with other vehicles or pedestrians, and the passenger compartment deformation is unlikely in this scenario.
8;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Ego vehicle is driving in a multi-lane one-way street with adjacent parking lanes and dotted line markings, a car from the parking lane suddenly pulls out""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the car""";S3; The CAEM failing to produce a lateral motion request when necessary to avoid a collision with a car can lead to a direct frontal collision at high speed. This could result in life-threatening injuries (survival uncertain), or even fatal injuries, especially if the impact speed is high, which is likely in this scenario. This is similar to the example given for S3 severity level, where a front collision with passenger compartment deformation occurs.
9;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transiting an underpass on a wet multi-lane curved road with low friction, a car suddenly brakes in front""";"""CAEM produces a lateral motion request causing the ego vehicle to swerve into the next lane""";S1; The severity of the hazardous event, where CAEM produces a lateral motion request causing the ego vehicle to swerve into the next lane, is predicted as S1. This is because the event involves a sudden change in the vehicle's direction, which could potentially lead to a collision with another vehicle or roadside infrastructure, causing light to moderate injuries. However, the severity may not escalate to S2 or S3 as the impact speed might not be high enough to cause severe or life-threatening injuries, given that the event is triggered by a lateral motion request and not a high-speed chase or a head-on collision scenario.
10;Commission;CAEM produces a lateral motion request when there is no hazardous collision object in the vicinity.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking and a pedestrian is crossing the road""";"""CAEM produces a lateral motion request causing the vehicle to swerve towards the pedestrian""";S3; The hazardous event involves a vehicle swerving towards a pedestrian, which is an unprotected road user. Given the sudden lateral motion request produced by CAEM, the impact speed could be high. This scenario may result in life-threatening injuries (survival uncertain) or fatal injuries to the pedestrian, hence the severity is predicted as S3.
11;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a roundabout with debris on the road""";"""CAEM fails to produce a lateral motion request, leading to a collision with the debris""";S1;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request, leading to a collision with the debris"" is predicted as S1. This is based on the assumption that the debris collision would be similar to a side impact with a narrow stationary object at very low speed, which is an example given for S1 severity class. The impact speed is predicted to be low due to the failure of the CAEM to produce a lateral motion request, suggesting that the vehicle was not in a high-speed scenario. The severity is not higher since the collision is with debris, not a pedestrian or another vehicle, reducing the potential for harm to persons involved."
12;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a straight multi-lane road that transitions into a bridge with solid line markings and pedestrian sidewalks, a large object falls off a truck ahead and lands on the road""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the fallen object""";S1; The CAEM's failure to produce a lateral motion request to avoid a collision with a fallen object could lead to a front collision with the object at a very low speed, which might result in light and moderate injuries (S1) to the driver or passengers of the ego vehicle. The impact speed and severity could be lower due to the possibility of the driver manually steering away from the object or the vehicle's automatic braking system activating upon detecting the obstacle.
13;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Vehicle entering a roundabout with debris on the road""";"""CAEM fails to produce a lateral motion request causing a collision with the debris""";S1;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request causing a collision with the debris"" is predicted as S1, indicating light to moderate injuries. This is because the accident involves a collision with debris, not with another vehicle or pedestrian, and it is assumed that the impact speed is relatively low given the lack of a lateral motion request. The severity could be higher if the debris is large or the vehicle is moving at a high speed, but without additional information, the severity is estimated to be at the lower end of the scale."
14;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Sharp downhill curve with low friction due to wet road conditions and a car parked on the side""";"""CAEM fails to produce a lateral motion request causing the vehicle to collide with the parked car""";S1; The CAEM failure causing the vehicle to collide with a parked car would most likely result in light to moderate injuries. This is because the impact speed would be relatively low given that the vehicle is not being propelled laterally at high speeds, and the parked car would absorb some of the impact. Furthermore, the vehicle's safety systems (airbags, seatbelts) would also mitigate the severity of the injuries.
15;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Sharp downhill curve with low friction due to wet road conditions and debris on the road""";"""CAEM fails to produce a lateral motion request causing the vehicle to collide with the debris""";S1;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request causing the vehicle to collide with the debris"" is predicted as S1. This is because, as per the provided severity classes, the collision with debris due to the failure of CAEM to produce a lateral motion request can be equated to a side impact with a narrow stationary object (the debris) at a very low speed. This is assuming that the vehicle was not at a high speed when the event occurred. Therefore, the severity is likely to result in light and moderate injuries, which falls under the S1 category."
16;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a T-intersection with a debris on the road""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the debris""";S0;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the debris"" is estimated to be S0. This is because the event describes a failure of the system to initiate a lateral motion to avoid debris, but it does not explicitly state that a collision occurred. Therefore, in this scenario, it is assumed that the vehicle might have continued in its path without colliding with the debris or any other object, resulting in no injuries. The impact speed is not a factor in this scenario as no collision is explicitly mentioned."
17;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Transiting an underpass on a wet multi-lane curved road with low friction, a large object falls from a vehicle ahead""";"""CAEM fails to produce a lateral motion request causing a collision with the fallen object""";S1;The CAEM failure to produce a lateral motion request leading to a collision with a fallen object would likely result in light to moderate injuries. This is because the impact speed would be relatively low due to the vehicle's inability to swerve, and the collision would likely be with a stationary object, similar to a passenger car crashing into a tree at very low speed. However, the severity could be higher if there are unprotected road users nearby or if the fallen object is large or heavy.
18;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Moving through a tunnel in a one-way street with a bike lane and signalized intersections, a large debris falls from the tunnel ceiling""";"""CAEM fails to produce a lateral motion request causing the vehicle to collide with the debris""";S1;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request causing the vehicle to collide with the debris"" is predicted as S1. This is because the event describes a situation where the vehicle collides with debris, which can be considered a stationary object. The severity of the impact is likely to be light to moderate, as the debris is unlikely to cause significant deformation to the passenger compartment. The impact speed is also likely to be low, as the scenario does not specify any high-speed conditions. Therefore, the severity is assigned to S1, which represents light and moderate injuries."
19;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking, a car is parked illegally on the curve""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the parked car""";S1; The CAEM failing to produce a lateral motion request to avoid a collision with a parked car would likely result in a front collision at a very low speed. This scenario falls under severity class S1 as it would likely cause light to moderate injuries, similar to a passenger car crashing into a stationary object at very low speed. The impact speed would be low due to the vehicle's inability to execute a lateral motion, hence the severity is not higher.
20;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Transitioning from a bridge to a sharp uphill curve with a solid line marking, a large rock has fallen onto the road""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the rock""";S1;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the rock"" is predicted as S1. This is because the failure to produce a lateral motion request could result in a collision with the rock, which might cause light to moderate injuries depending on the impact speed. However, it is unlikely to cause severe or life-threatening injuries as the ego vehicle would not be colliding with another vehicle or unprotected road user, and the impact speed would likely be lower than in scenarios involving other moving vehicles. The severity is not S0 as there could be damage to the vehicle and potential injuries to the occupants."
21;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a roundabout with debris on the road""";"""CAEM fails to produce a lateral motion request, leading to a collision with the debris""";S1;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request, leading to a collision with the debris"" is predicted as S1. This is based on the assumption that the debris collision would be similar to a side impact with a narrow stationary object at very low speed, which is an example given for S1 severity class. The impact speed is predicted to be low due to the failure of the CAEM to produce a lateral motion request, suggesting that the vehicle was not in a high-speed scenario. The severity is not higher since the collision is with debris, not a pedestrian or another vehicle, reducing the potential for harm to persons involved."
22;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Traversing a gentle curve on a single-lane uphill road with an adjacent parking lane, a large boulder rolls onto the road from the uphill side""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the boulder""";S1; The CAEM's failure to produce a lateral motion request to avoid a collision with the boulder implies that the ego vehicle may collide with the boulder. However, considering that the boulder is a stationary object and assuming that the ego vehicle is not at an excessively high speed, the impact may cause light to moderate injuries to the driver or passengers, but not severe or life-threatening injuries. Therefore, the severity is predicted as S1.
23;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: Navigating a downhill road with a pedestrian crossing, a large rock falls from the tunnel ceiling""";"""Hazardous Event: CAEM fails to produce a lateral motion request, leading to a potential collision with the rock""";S1; The severity of the hazardous event is predicted as S1 because the failure of CAEM to produce a lateral motion request may lead to a collision with the rock. However, considering the scenario, the impact speed might not be very high, which could result in light to moderate injuries, such as bruises or fractures, but not life-threatening. The severity is not higher because there is no indication of high speed or involvement of unprotected road users like pedestrians or cyclists.
24;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: A large piece of debris falls from a nearby building onto the road in front of the ego vehicle""";"""Hazardous Event: CAEM fails to produce a lateral motion request, leading to a potential collision with the debris""";S1;The severity is predicted as S1 because the failure of CAEM to produce a lateral motion request could lead to a collision with the debris, which might result in light to moderate injuries depending on the speed and size of the debris. However, since there is no direct threat to life as in the case of a collision with another vehicle or pedestrian, it does not fall into the higher severity categories.
25;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving on a straight multi-lane road that transitions into a bridge with solid line markings and pedestrian sidewalks, a large object falls off a truck ahead and lands on the road""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the fallen object""";S1; The CAEM's failure to produce a lateral motion request to avoid a collision with a fallen object could lead to a front collision with the object at a very low speed, which might result in light and moderate injuries (S1) to the driver or passengers of the ego vehicle. The impact speed and severity could be lower due to the possibility of the driver manually steering away from the object or the vehicle's automatic braking system activating upon detecting the obstacle.
26;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Sharp downhill curve with low friction due to wet road conditions and a pedestrian crossing""";"""CAEM fails to produce a lateral motion request causing the vehicle to collide with the pedestrian""";S3; The hazardous event involves a failure in the CAEM, leading to a collision with a pedestrian. Given the unprotected nature of pedestrians and the potential high impact speed, this could result in life-threatening injuries or even fatality, hence the severity is predicted as S3.
27;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Sharp downhill curve with low friction due to wet road conditions and a truck coming from the opposite direction""";"""CAEM fails to produce a lateral motion request causing the vehicle to collide head-on with the truck""";S3; The hazardous event involves a head-on collision with a truck, which is a severe accident scenario. Given the size and weight of the truck, even at moderate speeds, the impact could cause significant deformation of the passenger compartment, leading to life-threatening injuries or even fatal injuries. The CAEM's failure to produce a lateral motion request suggests a high impact speed, further escalating the severity of the accident.
28;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Driving uphill on a single-lane straight road with high friction, an unmarked pedestrian crossing, and a car approaching from the opposite direction""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a head-on collision with the car""";S3;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request when it is necessary to avoid a head-on collision with the car"" is predicted as S3. This is because a head-on collision, especially at high speeds, can cause severe damage to the passenger compartment which can result in life-threatening injuries or even fatalities. The severity is determined based on the potential harm to the driver and passengers of both vehicles involved in the accident."
29;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Ego vehicle is driving in a multi-lane one-way street with adjacent parking lanes and dotted line markings, a car from the parking lane suddenly pulls out""";"""CAEM fails to produce a lateral motion request when it is necessary to avoid a collision with the car""";S3; The CAEM failing to produce a lateral motion request when necessary to avoid a collision with a car can lead to a direct frontal collision at high speed. This could result in life-threatening injuries (survival uncertain), or even fatal injuries, especially if the impact speed is high, which is likely in this scenario. This is similar to the example given for S3 severity level, where a front collision with passenger compartment deformation occurs.
30;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Moving through a tunnel in a one-way street with a bike lane and signalized intersections, a pedestrian crosses the road unexpectedly""";"""CAEM fails to produce a lateral motion request causing the vehicle to hit the pedestrian""";S3; The hazardous event involves a failure in the CAEM to produce a lateral motion request, leading to a collision with a pedestrian. Given that pedestrians are unprotected road users, the impact of such a collision, even at low speeds, can result in life-threatening injuries or even fatalities. The severity of the potential harm is therefore classified as S3, indicating the highest level of severity.
31;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Moving through a tunnel in a one-way street with a bike lane and signalized intersections, a large truck enters the tunnel from the opposite direction""";"""CAEM fails to produce a lateral motion request causing a head-on collision with the truck""";S3; The hazardous event involves a head-on collision with a truck due to a failure in producing a lateral motion request. Given the nature of the accident, it is likely that the impact speed would be high, especially if the truck was moving at a significant speed. This could lead to passenger compartment deformation, which is a characteristic of severity class S3. Furthermore, the accident involves an ego vehicle and a truck, both of which can have passengers, thus increasing the potential for severe or even fatal injuries.
32;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a roundabout with a pedestrian crossing the road""";"""CAEM fails to produce a lateral motion request, leading to a collision with the pedestrian""";S3; The severity is predicted as S3 due to the failure of CAEM to produce a lateral motion request, leading to a direct collision with an unprotected road user - a pedestrian. The impact speed, depending on the scenario and maximum allowed speed of the vehicle, could be high, thus increasing the likelihood of life-threatening injuries or even fatality. This is in line with the examples provided for S3 severity class such as pedestrian accidents with medium speed.
33;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a roundabout with a car coming from the opposite direction""";"""CAEM fails to produce a lateral motion request, leading to a head-on collision with the car""";S3;" The severity of the hazardous event where ""CAEM fails to produce a lateral motion request, leading to a head-on collision with the car"" is predicted as S3. This is because a head-on collision, especially if at a high speed, can lead to life-threatening injuries or even fatal injuries. The impact speed in this scenario is likely to be high due to the failure of the CAEM to produce a lateral motion request, which would have otherwise helped to avoid or minimize the collision. The severity is therefore assigned to S3, which represents life-threatening injuries with survival uncertain, or fatal injuries."
34;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Approaching a roundabout with a truck entering the roundabout""";"""CAEM fails to produce a lateral motion request, leading to a collision with the truck""";S3; The severity of the hazardous event where the CAEM fails to produce a lateral motion request, leading to a collision with the truck, is predicted as S3. This is due to the high potential for life-threatening injuries (survival uncertain) or fatal injuries. The impact speed, given the failure of lateral motion request and the involvement of a large vehicle like a truck, is likely to be high. The individuals involved could be the driver or passengers of the ego vehicle and the driver of the truck. Given the size and weight of the truck, the collision could lead to passenger compartment deformation, which is an example of an S3 severity event.
35;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: Navigating a downhill road with a pedestrian crossing, a car appears from the tunnel going in the opposite direction""";"""Hazardous Event: CAEM fails to produce a lateral motion request, leading to a potential head-on collision with the car""";S3; The CAEM's failure to produce a lateral motion request could lead to a head-on collision with another car, which is a potentially fatal event. This is due to the fact that head-on collisions often result in severe injuries or fatalities, especially at high speeds. Therefore, the severity is classified as S3, indicating life-threatening injuries with survival uncertain.
36;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Transitioning from a straight road to a sharp curve with a motorbike coming from the opposite direction at the intersection""";"""CAEM fails to produce a lateral motion request when a motorbike is approaching from the opposite direction, leading to a head-on collision""";S3; The severity of the hazardous event is predicted as S3 due to the fact that it involves a head-on collision, which typically results in severe damage. The impact speed is likely to be high given that the CAEM failed to produce a lateral motion request, implying that there was no attempt to slow down or avoid the collision. Additionally, the fact that a motorbike is involved increases the severity, as motorbike riders are unprotected road users and more likely to suffer serious or fatal injuries in the event of a collision.
37;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: A pedestrian suddenly steps onto the road from an unmarked crossing""";"""Hazardous Event: CAEM fails to produce a lateral motion request, leading to a potential collision with the pedestrian""";S2; The hazardous event involves a failure of the CAEM to produce a lateral motion request, which could potentially lead to a collision with a pedestrian. Given the nature of the event, it's likely that the impact speed would be low as the vehicle might not have enough time to accelerate significantly. This could result in severe and life-threatening injuries to the pedestrian (survival probable), hence the severity value is estimated as S2.
38;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: A cyclist swerves from the bike lane into the vehicle's path""";"""Hazardous Event: CAEM fails to produce a lateral motion request, leading to a potential collision with the cyclist""";S2;The severity of the hazardous event is predicted as S2 because the failure of the CAEM to produce a lateral motion request could lead to a collision with a cyclist. Given the potential impact speed and the vulnerability of the cyclist as an unprotected road user, the accident could result in severe and life-threatening injuries, although survival is probable.
39;Omission;CAEM fails to produce a lateral motion request when it is necessary to avoid a collision.;"""Scenario: A car from the opposite direction crosses into the ego vehicle's lane""";"""Hazardous Event: CAEM fails to produce a lateral motion request, leading to a potential collision with the oncoming car""";S2; The CAEM failure to produce a lateral motion request could lead to a collision with the oncoming car. Given the potential for a front collision at a potentially high speed, severe and life-threatening injuries are probable. The severity is predicted for all involved parties - the driver and passengers of the ego vehicle and the oncoming car. The final severity value is determined by the person with the highest level of severity, which in this case is S2. The impact speed is estimated based on the scenario and the maximum allowed speed of the vehicles.
